Age group;Generation (?_pa);n (turnover/year);p_c;p_a;p = p_c + p_a;? = np;e^?;P(0);P(cancer)/year;P(cancer)/5 years (%);Cancerstats P(cancer)/5 years (%)
5;45;4.20E+13;2.38E-18;4.42E-20;2.42E-18;0.00010182;1.000101823;0.999898188;0.000101812;0.050906172;0.1028
10;46;4.20E+13;2.38E-18;2.25E-19;2.61E-18;0.00010943;1.000109434;0.999890578;0.000109422;0.054711162;0.0553
15;47;4.20E+13;2.38E-18;1.09E-18;3.47E-18;0.00014559;1.000145601;0.99985442;0.00014558;0.072789866;0.0633
20;47.5;4.20E+13;2.38E-18;2.34E-18;4.72E-18;0.00019812;1.00019814;0.999801899;0.000198101;0.099050266;0.1023
25;48;4.20E+13;2.38E-18;4.96E-18;7.34E-18;0.00030837;1.000308413;0.999691682;0.000308318;0.154158996;0.1643
30;48.5;4.20E+13;2.38E-18;1.04E-17;1.28E-17;0.00053677;1.000536916;0.999463372;0.000536628;0.26831397;0.3003
35;49;4.20E+13;2.38E-18;2.15E-17;2.39E-17;0.00100404;1.001004543;0.998996465;0.001003535;0.501767595;0.4533
40;49.5;3.15E+13;2.38E-18;4.40E-17;4.64E-17;0.00146114;1.001462213;0.998539922;0.001460078;0.730038799;0.638
45;50;2.36E+13;2.38E-18;8.89E-17;9.13E-17;0.00215374;1.002156059;0.99784858;0.00215142;1.075710049;0.955
50;50.5;1.77E+13;2.38E-18;1.77E-16;1.80E-16;0.0031821;1.003187173;0.996822953;0.003177047;1.588523584;1.5588
55;51;1.33E+13;2.38E-18;3.50E-16;3.52E-16;0.00468653;1.00469753;0.995324434;0.004675566;2.337783168;2.3953
60;51.5;9.97E+12;2.38E-18;6.83E-16;6.85E-16;0.00682998;1.006853359;0.99319329;0.00680671;3.403355136;3.5565
65;52;7.48E+12;2.38E-18;1.32E-15;1.32E-15;0.00986744;1.009916287;0.99018108;0.00981892;4.909459791;5.3138
70;52.5;5.61E+12;2.38E-18;2.51E-15;2.51E-15;0.01410723;1.014207207;0.98599181;0.01400819;7.004094839;7.576
75;53;4.20E+12;2.38E-18;4.74E-15;4.74E-15;0.01992589;1.020125732;0.980271323;0.019728677;9.864338737;9.5098
80;53.5;2.73E+12;2.38E-18;8.86E-15;8.86E-15;0.02418437;1.024479182;0.976105731;0.023894269;11.94713473;11.8208
85;54;1.78E+12;2.38E-18;1.64E-14;1.64E-14;0.02914416;1.029573011;0.971276432;0.028723568;14.3617842;13.051
90;54.5;1.07E+12;2.38E-18;3.00E-14;3.00E-14;0.03205468;1.032573962;0.968453629;0.031546371;15.77318562;14.2038
95;55;5.33E+11;2.38E-18;5.43E-14;5.43E-14;0.02892657;1.029349002;0.971487803;0.028512197;14.25609866;13.31
